,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District
766,335,76,3,2,1,1,No,No,No,No,Cambuci
959,700,94,2,3,1,2,Yes,No,Yes,No,Cidade Ademar
3816,1890,104,1,2,1,1,No,Yes,Yes,No,Moema
71,0,48,2,2,1,1,No,No,No,No,Cangaíba
2438,0,440,4,3,2,0,No,No,No,No,Liberdade
3949,599,76,3,2,1,2,Yes,No,Yes,No,Sacomã
169,1739,230,4,3,2,4,Yes,No,Yes,No,Cidade Tiradentes
4656,3700,266,3,4,3,7,No,No,Yes,No,Perdizes
10475,0,75,3,2,1,2,Yes,No,Yes,No,Vila Matilde
1342,940,78,3,2,1,1,Yes,No,Yes,No,Santo Amaro
1895,299,58,2,2,1,1,Yes,No,No,No,Limão
4724,2109,160,3,2,1,2,No,No,No,No,Pinheiros
10104,660,62,2,3,1,1,No,No,No,No,Butantã
97,497,48,2,2,1,1,No,No,No,No,Carrão
2047,590,62,2,2,1,1,Yes,No,No,No,Rio Pequeno
1183,3778,220,3,5,3,3,No,No,No,No,Jardim Paulista
9250,524,106,3,2,1,1,Yes,No,No,No,República
5211,0,50,2,2,1,1,Yes,No,Yes,No,Mooca
5304,750,50,1,2,1,1,Yes,Yes,Yes,No,Vila Olimpia
4397,529,53,2,1,0,1,No,No,No,No,Freguesia do Ó
10390,1846,148,3,4,3,3,No,No,No,No,Tucuruvi
9151,430,42,2,2,1,1,No,No,No,No,Brás
9457,250,50,2,2,1,1,No,No,No,No,Vila Guilherme
1583,974,76,2,2,1,2,Yes,Yes,Yes,No,Alto de Pinheiros
1093,1570,96,3,3,1,1,Yes,No,No,No,Itaim Bibi
3038,300,50,2,1,0,1,No,Yes,Yes,No,Carrão
10127,600,60,2,2,1,1,No,Yes,Yes,No,Freguesia do Ó
316,300,55,2,2,1,1,Yes,Yes,No,No,José Bonifácio
1693,0,77,2,2,1,2,Yes,No,Yes,No,Butantã
132,0,49,2,2,1,1,No,No,No,No,Cidade Líder
1770,768,100,3,3,1,1,No,No,No,No,Freguesia do Ó
2666,645,60,2,1,0,2,No,No,Yes,No,Mandaqui
1494,950,70,2,2,1,2,No,Yes,Yes,No,Vila Mariana
3979,1200,103,2,1,0,1,No,No,No,No,Santo Amaro
1667,0,50,2,2,1,1,No,No,No,No,Brasilândia
299,0,90,1,2,1,1,No,No,No,No,Jardim Helena
2185,550,38,1,2,1,1,No,Yes,Yes,No,Bela Vista
3675,600,144,2,1,0,1,No,No,No,No,Jabaquara
3228,1250,157,3,4,3,5,No,No,Yes,No,Tatuapé
1059,1500,163,3,3,1,2,Yes,No,No,No,Ipiranga
2053,0,74,2,2,1,1,No,No,No,No,Rio Pequeno
3541,0,50,1,1,0,1,No,No,No,No,Ipiranga
10425,530,59,3,2,1,1,No,No,No,No,Belém
3392,2800,270,4,5,4,4,No,No,Yes,No,Campo Belo
2231,340,35,1,2,1,1,No,Yes,Yes,No,Bela Vista
703,766,75,2,2,1,1,Yes,No,No,No,Vila Prudente
1128,790,78,2,3,1,1,No,No,No,No,Jabaquara
4000,1500,150,3,2,1,0,No,No,Yes,No,Santo Amaro
10580,825,75,3,1,0,1,No,No,No,No,Campo Grande
9685,380,48,2,2,1,1,No,No,No,No,Itaquera
3295,481,53,2,1,0,2,Yes,No,No,No,Vila Prudente
9650,560,70,3,2,1,1,No,No,Yes,No,Cidade Líder
10291,619,69,2,2,1,2,Yes,No,Yes,No,Bom Retiro
10353,650,90,2,2,1,2,No,No,Yes,No,Casa Verde
4540,409,80,2,1,0,1,No,No,No,No,Lapa
2722,600,42,1,2,1,2,Yes,Yes,Yes,Yes,Santana
3758,3940,370,4,3,2,2,No,No,No,No,Jardim Paulista
1646,650,145,4,3,2,3,Yes,No,Yes,No,Anhanguera
940,732,74,3,2,1,1,Yes,No,Yes,No,Cidade Ademar
3499,1300,185,3,4,3,2,No,No,Yes,No,Cidade Dutra
3941,700,70,3,2,1,1,Yes,No,No,No,Sacomã
2451,439,41,1,1,0,0,No,No,No,No,Liberdade
1078,1370,87,2,2,1,1,Yes,No,No,No,Itaim Bibi
1135,492,56,3,2,1,1,No,No,No,No,Jabaquara
46,500,51,2,2,1,1,Yes,No,No,No,Belém
9586,468,54,2,2,1,1,No,No,No,No,Aricanduva
2901,550,60,2,1,0,1,No,No,No,No,Água Rasa
796,1800,210,4,6,4,3,No,Yes,Yes,No,Campo Belo
4539,659,42,1,1,0,1,No,No,No,No,Lapa
10673,520,42,1,1,0,1,Yes,No,Yes,No,Moema
2991,0,55,2,1,0,1,No,No,Yes,No,Cangaíba
10563,476,65,3,1,0,1,No,No,No,No,Campo Grande
2567,400,45,1,1,0,1,Yes,Yes,Yes,No,Santa Cecília
10924,910,80,2,1,0,1,No,No,No,No,Perdizes
936,400,50,2,2,1,1,Yes,No,No,No,Cidade Ademar
351,416,54,2,2,1,1,No,No,No,No,Penha
954,510,66,3,2,1,2,Yes,Yes,Yes,No,Cidade Ademar
4686,1900,176,3,4,3,4,No,No,No,No,Pinheiros
9682,490,50,3,2,1,1,No,No,No,No,Itaquera
1015,450,62,3,2,1,1,No,No,No,No,Cursino
3135,453,63,3,2,1,1,No,No,Yes,No,Penha
4465,539,60,3,2,1,1,No,No,Yes,No,Jaguaré
4583,408,80,2,1,0,1,No,No,No,No,Limão
744,597,50,2,2,1,1,No,No,No,No,Cambuci
686,460,50,2,2,1,1,No,Yes,No,No,Vila Prudente
677,657,70,2,2,1,1,No,No,Yes,No,Vila Matilde
9366,950,90,3,2,1,3,No,No,No,No,Mandaqui
4498,750,70,2,2,1,2,Yes,No,No,No,Lapa
1719,500,63,3,2,1,1,Yes,No,Yes,No,Butantã
9874,573,56,2,2,1,1,Yes,No,Yes,No,Cursino
341,204,55,3,2,1,1,No,No,Yes,No,Lajeado
10698,5040,852,7,6,5,6,Yes,No,Yes,No,Morumbi
10966,765,56,2,1,0,2,Yes,Yes,Yes,No,Pinheiros
10557,1710,233,4,5,4,3,No,Yes,Yes,No,Campo Grande
4500,105,65,2,1,0,0,No,No,No,No,Lapa
3394,1293,162,3,4,3,2,No,No,Yes,No,Campo Belo
3763,1301,145,2,2,1,3,No,No,Yes,No,Jardim Paulista
1449,822,70,2,2,1,2,Yes,No,Yes,No,Vila Andrade
9495,0,80,2,2,1,1,No,No,No,No,Vila Maria
10074,4900,320,3,5,3,5,Yes,Yes,Yes,No,Alto de Pinheiros
9388,1500,94,2,2,1,2,No,No,Yes,No,Santana
458,554,60,2,2,1,1,Yes,No,No,No,São Lucas
924,0,75,3,2,1,2,Yes,No,Yes,No,Capão Redondo
10509,330,90,2,1,0,1,Yes,No,No,No,Cambuci
10234,1500,210,3,5,3,4,Yes,Yes,Yes,No,Vila Leopoldina
3390,811,42,1,2,1,1,No,No,Yes,No,Campo Belo
3837,3081,257,4,5,4,4,No,No,No,No,Moema
3174,0,34,1,1,0,0,No,No,No,No,São Lucas
1195,1415,120,3,3,1,2,Yes,No,No,No,Jardim Paulista
